date, rank, team_id, team_name, points, points_prev, rank_prev
'2017-06-01 00:00:00',1,'BRA','Brazil',1715.02,1672,0
'2017-06-01 00:00:00',2,'ARG','Argentina',1626.23,1603,0
'2017-06-01 00:00:00',3,'GER','Germany',1511.44,1464,0
'2017-06-01 00:00:00',4,'CHI','Chile',1422.14,1411,0
'2017-06-01 00:00:00',5,'COL','Colombia',1365.63,1348,0
'2017-06-01 00:00:00',6,'FRA','France',1332.16,1294,0
'2017-06-01 00:00:00',7,'BEL','Belgium',1291.57,1281,0
'2017-06-01 00:00:00',8,'POR','Portugal',1266.76,1259,0
'2017-06-01 00:00:00',9,'SUI','Switzerland',1263.29,1212,0
'2017-06-01 00:00:00',10,'ESP','Spain',1198.19,1204,0
'2017-06-01 00:00:00',10,'POL','Poland',1197.7,1183,1
'2017-06-01 00:00:00',12,'ITA','Italy',1193.23,1165,0
'2017-06-01 00:00:00',13,'WAL','Wales',1119.36,1119,0
'2017-06-01 00:00:00',13,'ENG','England',1119.17,1103,1
'2017-06-01 00:00:00',15,'PER','Peru',1108.36,1044,2
'2017-06-01 00:00:00',16,'URU','Uruguay',1098.77,1097,-1
'2017-06-01 00:00:00',17,'MEX','Mexico',1049.98,1076,-1
'2017-06-01 00:00:00',18,'CRO','Croatia',1033.11,1016,0
'2017-06-01 00:00:00',19,'CRC','Costa Rica',912.74,902,1
'2017-06-01 00:00:00',20,'EGY','Egypt',902.98,910,-1
'2017-06-01 00:00:00',21,'SVK','Slovakia',882.98,846,3
'2017-06-01 00:00:00',22,'ISL','Iceland',876.96,872,-1
'2017-06-01 00:00:00',23,'USA','USA',861.29,847,0
'2017-06-01 00:00:00',24,'ECU','Ecuador',858.06,839,1
'2017-06-01 00:00:00',25,'TUR','Turkey',855,863,-3
'2017-06-01 00:00:00',26,'IRL','Republic of Ireland',853.67,823,0
'2017-06-01 00:00:00',27,'SEN','Senegal',838.99,805,3
'2017-06-01 00:00:00',28,'NIR','Northern Ireland',837.49,823,-2
