date, rank, team_id, team_name, points, points_prev, rank_prev
'2012-12-19 00:00:00',1,'ESP','Spain',1605.76,1564,0
'2012-12-19 00:00:00',2,'GER','Germany',1437.49,1421,0
'2012-12-19 00:00:00',3,'ARG','Argentina',1289.95,1349,0
'2012-12-19 00:00:00',4,'ITA','Italy',1164.67,1169,1
'2012-12-19 00:00:00',5,'COL','Colombia',1163.55,1110,3
'2012-12-19 00:00:00',6,'ENG','England',1150.93,1167,0
'2012-12-19 00:00:00',7,'POR','Portugal',1143.79,1178,-3
'2012-12-19 00:00:00',8,'NED','Netherlands',1124.02,1128,-1
'2012-12-19 00:00:00',9,'RUS','Russia',1069.71,1084,0
'2012-12-19 00:00:00',10,'CRO','Croatia',1064.23,1078,0
'2012-12-19 00:00:00',11,'GRE','Greece',1033.06,1004,1
'2012-12-19 00:00:00',12,'SUI','Switzerland',1003.72,966,4
'2012-12-19 00:00:00',13,'ECU','Ecuador',998.93,951,4
'2012-12-19 00:00:00',14,'CIV','Côte d'Ivoire',995.37,974,1
'2012-12-19 00:00:00',15,'MEX','Mexico',994.5,984,-1
'2012-12-19 00:00:00',16,'URU','Uruguay',974.59,1047,-5
'2012-12-19 00:00:00',17,'FRA','France',949.42,938,1
'2012-12-19 00:00:00',18,'BRA','Brazil',945.73,994,-5
'2012-12-19 00:00:00',19,'ALG','Algeria',886.86,907,0
'2012-12-19 00:00:00',20,'SWE','Sweden',870.28,826,3
'2012-12-19 00:00:00',21,'BEL','Belgium',867.69,881,-1
'2012-12-19 00:00:00',22,'JPN','Japan',840.27,810,2
'2012-12-19 00:00:00',23,'DEN','Denmark',820.8,851,-1
'2012-12-19 00:00:00',24,'NOR','Norway',810.42,778,2
'2012-12-19 00:00:00',25,'MLI','Mali',809.5,772,3
'2012-12-19 00:00:00',26,'CHI','Chile',792.97,853,-5
'2012-12-19 00:00:00',27,'BIH','Bosnia and Herzegovina',788.32,746,4
'2012-12-19 00:00:00',28,'USA','USA',781.58,776,-1
'2012-12-19 00:00:00',29,'CZE','Czech Republic',781.44,806,-4
'2012-12-19 00:00:00',30,'GHA','Ghana',776.76,762,-1
'2012-12-19 00:00:00',31,'MNE','Montenegro',756.23,691,3
'2012-12-19 00:00:00',32,'HUN','Hungary',749.71,753,-2
'2012-12-19 00:00:00',33,'ROU','Romania',700.31,669,4
'2012-12-19 00:00:00',34,'ZAM','Zambia',696.58,633,5
'2012-12-19 00:00:00',35,'KOR','Korea Republic',685.96,728,-3
'2012-12-19 00:00:00',36,'AUS','Australia',667.53,719,-3
'2012-12-19 00:00:00',37,'PAR','Paraguay',666.35,690,-2
'2012-12-19 00:00:00',38,'SRB','Serbia',658.79,626,4
'2012-12-19 00:00:00',39,'HAI','Haiti',650.34,553,18
'2012-12-19 00:00:00',40,'TUR','Turkey',627.15,639,-2
'2012-12-19 00:00:00',41,'EGY','Egypt',615.5,627,-1
'2012-12-19 00:00:00',42,'IRL','Republic of Ireland',608.8,682,-6
'2012-12-19 00:00:00',42,'BOL','Bolivia',609.2,585,9
'2012-12-19 00:00:00',42,'GAB','Gabon',609.23,581,10
'2012-12-19 00:00:00',45,'TUN','Tunisia',606,609,1
'2012-12-19 00:00:00',46,'PER','Peru',603.32,611,-2
'2012-12-19 00:00:00',47,'SVK','Slovakia',594.88,619,-4
'2012-12-19 00:00:00',47,'UKR','Ukraine',594.58,575,8
'2012-12-19 00:00:00',49,'SVN','Slovenia',590.66,593,0
'2012-12-19 00:00:00',50,'BUL','Bulgaria',584.97,627,-10
'2012-12-19 00:00:00',51,'PAN','Panama',582.06,609,-5
'2012-12-19 00:00:00',52,'CTA','Central African Republic',581.08,581,0
'2012-12-19 00:00:00',52,'NGA','Nigeria',581.44,553,5
'2012-12-19 00:00:00',54,'LBY','Libya',571.65,545,5
'2012-12-19 00:00:00',55,'POL','Poland',553.18,579,-1
'2012-12-19 00:00:00',56,'JAM','Jamaica',551.68,586,-6
'2012-12-19 00:00:00',57,'VEN','Venezuela',551.24,600,-9
'2012-12-19 00:00:00',58,'HON','Honduras',539.72,572,-2
'2012-12-19 00:00:00',59,'IRN','IR Iran',531.56,611,-15
'2012-12-19 00:00:00',60,'GUI','Guinea',526.57,485,11
'2012-12-19 00:00:00',61,'CMR','Cameroon',523.16,520,1
'2012-12-19 00:00:00',62,'SLE','Sierra Leone',520.8,521,-1
'2012-12-19 00:00:00',63,'ALB','Albania',517.97,496,4
'2012-12-19 00:00:00',64,'CAN','Canada',517.12,526,-4
'2012-12-19 00:00:00',65,'BLR','Belarus',516.1,478,9
'2012-12-19 00:00:00',66,'CRC','Costa Rica',515.32,509,-2
'2012-12-19 00:00:00',67,'UZB','Uzbekistan',512.96,490,2
'2012-12-19 00:00:00',68,'TRI','Trinidad and Tobago',507.05,446,11
'2012-12-19 00:00:00',69,'CPV','Cape Verde Islands',497.66,511,-6
'2012-12-19 00:00:00',70,'AUT','Austria',492.47,492,-2
'2012-12-19 00:00:00',71,'TOG','Togo',491.17,479,2
'2012-12-19 00:00:00',72,'SCO','Scotland',489.95,488,-2
'2012-12-19 00:00:00',73,'GEO','Georgia',480.78,499,-8
'2012-12-19 00:00:00',74,'MAR','Morocco',466.19,482,-2
'2012-12-19 00:00:00',75,'BEN','Benin',457.05,457,2
'2012-12-19 00:00:00',75,'ARM','Armenia',456.71,444,7
'2012-12-19 00:00:00',77,'SEN','Senegal',454.87,471,-2
'2012-12-19 00:00:00',78,'ISR','Israel',453.72,452,0
'2012-12-19 00:00:00',79,'EQG','Equatorial Guinea',438.82,397,16
'2012-12-19 00:00:00',80,'GUA','Guatemala',438.28,467,-4
'2012-12-19 00:00:00',81,'MKD','FYR Macedonia',436.51,431,2
'2012-12-19 00:00:00',82,'WAL','Wales',434.85,497,-16
'2012-12-19 00:00:00',83,'FIN','Finland',430.93,411,8
'2012-12-19 00:00:00',84,'ANG','Angola',428.44,446,-5
'2012-12-19 00:00:00',84,'UGA','Uganda',427.86,428,2
'2012-12-19 00:00:00',86,'EST','Estonia',424.79,430,-2
'2012-12-19 00:00:00',87,'RSA','South Africa',416.06,430,-3
'2012-12-19 00:00:00',88,'CHN','China PR',410.07,424,0
'2012-12-19 00:00:00',89,'BFA','Burkina Faso',408.14,423,0
'2012-12-19 00:00:00',90,'ISL','Iceland',392.21,392,6
'2012-12-19 00:00:00',91,'NZL','New Zealand',390.02,404,2
'2012-12-19 00:00:00',92,'IRQ','Iraq',384.92,390,5
'2012-12-19 00:00:00',93,'DOM','Dominican Republic',378.04,406,-1
'2012-12-19 00:00:00',94,'JOR','Jordan',374.86,420,-4
