date, rank, team_id, team_name, points, points_prev, rank_prev
'2016-12-22 00:00:00',1,'ARG','Argentina',1634.02,1634,0
'2016-12-22 00:00:00',2,'BRA','Brazil',1544.05,1544,0
'2016-12-22 00:00:00',3,'GER','Germany',1432.54,1433,0
'2016-12-22 00:00:00',4,'CHI','Chile',1403.96,1404,0
'2016-12-22 00:00:00',5,'BEL','Belgium',1367.77,1368,0
'2016-12-22 00:00:00',6,'COL','Colombia',1344.7,1345,0
'2016-12-22 00:00:00',7,'FRA','France',1305.41,1305,0
'2016-12-22 00:00:00',8,'POR','Portugal',1229.12,1229,0
'2016-12-22 00:00:00',9,'URU','Uruguay',1187.31,1187,0
'2016-12-22 00:00:00',10,'ESP','Spain',1165.66,1166,0
'2016-12-22 00:00:00',11,'SUI','Switzerland',1128.75,1129,0
'2016-12-22 00:00:00',12,'WAL','Wales',1120.86,1121,0
'2016-12-22 00:00:00',13,'ENG','England',1114.45,1114,0
'2016-12-22 00:00:00',14,'CRO','Croatia',1103.27,1103,0
'2016-12-22 00:00:00',15,'POL','Poland',1086.72,1089,0
'2016-12-22 00:00:00',16,'ITA','Italy',1082.6,1083,0
'2016-12-22 00:00:00',17,'CRC','Costa Rica',1040.55,1041,0
'2016-12-22 00:00:00',18,'MEX','Mexico',1012,1012,0
'2016-12-22 00:00:00',19,'PER','Peru',965.37,965,0
'2016-12-22 00:00:00',20,'ECU','Ecuador',890.45,890,0
'2016-12-22 00:00:00',21,'ISL','Iceland',889.28,889,0
'2016-12-22 00:00:00',22,'NED','Netherlands',887.14,887,0
'2016-12-22 00:00:00',23,'IRL','Republic of Ireland',857.64,858,0
'2016-12-22 00:00:00',24,'TUR','Turkey',850.58,851,0
'2016-12-22 00:00:00',25,'SVK','Slovakia',837.07,837,0
'2016-12-22 00:00:00',26,'HUN','Hungary',826.32,826,0
'2016-12-22 00:00:00',27,'BIH','Bosnia and Herzegovina',825.47,825,0
'2016-12-22 00:00:00',28,'USA','USA',822,822,0
'2016-12-22 00:00:00',29,'IRN','IR Iran',814.49,797,1
'2016-12-22 00:00:00',30,'UKR','Ukraine',803.65,804,-1
'2016-12-22 00:00:00',31,'AUT','Austria',773.49,773,0
'2016-12-22 00:00:00',32,'NIR','Northern Ireland',767.31,767,0
'2016-12-22 00:00:00',33,'SEN','Senegal',754.74,755,0
'2016-12-22 00:00:00',34,'CIV','Côte d'Ivoire',746.44,738,0
'2016-12-22 00:00:00',35,'TUN','Tunisia',737.54,738,-1
'2016-12-22 00:00:00',36,'EGY','Egypt',718.83,719,0
'2016-12-22 00:00:00',37,'KOR','Korea Republic',699.47,699,0
'2016-12-22 00:00:00',38,'ALG','Algeria',692.49,692,0
'2016-12-22 00:00:00',39,'ROU','Romania',689.55,690,0
'2016-12-22 00:00:00',40,'PAR','Paraguay',683.6,684,0
'2016-12-22 00:00:00',41,'SWE','Sweden',675.35,675,0
'2016-12-22 00:00:00',42,'GRE','Greece',674.34,674,0
'2016-12-22 00:00:00',43,'CZE','Czech Republic',671.35,671,0
'2016-12-22 00:00:00',44,'SRB','Serbia',646.93,647,0
