date, rank, team_id, team_name, points, points_prev, rank_prev
'2012-02-15 00:00:00',1,'ESP','Spain',1566,1564,0
'2012-02-15 00:00:00',2,'GER','Germany',1369.04,1345,1
'2012-02-15 00:00:00',3,'NED','Netherlands',1359.3,1365,-1
'2012-02-15 00:00:00',4,'URU','Uruguay',1317.11,1309,0
'2012-02-15 00:00:00',5,'ENG','England',1179.23,1173,0
'2012-02-15 00:00:00',6,'POR','Portugal',1155.17,1100,1
'2012-02-15 00:00:00',7,'BRA','Brazil',1152.45,1143,-1
'2012-02-15 00:00:00',8,'ITA','Italy',1115.26,1082,1
'2012-02-15 00:00:00',9,'CRO','Croatia',1101.13,1091,-1
'2012-02-15 00:00:00',10,'DEN','Denmark',1089.61,1032,1
'2012-02-15 00:00:00',11,'ARG','Argentina',1080.56,1067,-1
'2012-02-15 00:00:00',12,'CHI','Chile',996.33,973,0
'2012-02-15 00:00:00',13,'RUS','Russia',988.84,971,0
'2012-02-15 00:00:00',14,'GRE','Greece',978.82,964,0
'2012-02-15 00:00:00',15,'CIV','Côte d'Ivoire',966.55,889,3
'2012-02-15 00:00:00',16,'SUI','Switzerland',950.04,898,0
'2012-02-15 00:00:00',17,'FRA','France',930.36,915,-2
'2012-02-15 00:00:00',18,'SWE','Sweden',924.28,891,-1
'2012-02-15 00:00:00',19,'BIH','Bosnia and Herzegovina',920.23,869,0
'2012-02-15 00:00:00',20,'IRL','Republic of Ireland',892.65,864,3
'2012-02-15 00:00:00',21,'MEX','Mexico',881.52,866,0
'2012-02-15 00:00:00',22,'AUS','Australia',832.32,866,-1
'2012-02-15 00:00:00',23,'GHA','Ghana',819.33,779,3
'2012-02-15 00:00:00',24,'NOR','Norway',792.91,788,0
'2012-02-15 00:00:00',25,'SRB','Serbia',791.23,775,2
'2012-02-15 00:00:00',25,'TUR','Turkey',790.75,769,4
'2012-02-15 00:00:00',27,'PAR','Paraguay',781.33,775,0
'2012-02-15 00:00:00',27,'SVN','Slovenia',780.61,780,-2
'2012-02-15 00:00:00',29,'CZE','Czech Republic',775.45,749,2
'2012-02-15 00:00:00',30,'JPN','Japan',761.72,869,-11
'2012-02-15 00:00:00',31,'USA','USA',750.47,721,2
'2012-02-15 00:00:00',32,'COL','Colombia',746.44,709,3
'2012-02-15 00:00:00',33,'PER','Peru',742.94,712,1
'2012-02-15 00:00:00',34,'KOR','Korea Republic',713.52,752,-4
