date, rank, team_id, team_name, points, points_prev, rank_prev
'2016-02-04 00:00:00',1,'BEL','Belgium',1493.77,1494,0
'2016-02-04 00:00:00',2,'ARG','Argentina',1455.47,1455,0
'2016-02-04 00:00:00',3,'ESP','Spain',1369.63,1370,0
'2016-02-04 00:00:00',4,'GER','Germany',1347.15,1347,0
'2016-02-04 00:00:00',5,'CHI','Chile',1292.66,1269,0
'2016-02-04 00:00:00',6,'BRA','Brazil',1251.46,1251,0
'2016-02-04 00:00:00',7,'POR','Portugal',1219.13,1219,0
'2016-02-04 00:00:00',8,'COL','Colombia',1211.38,1211,0
'2016-02-04 00:00:00',9,'ENG','England',1105.71,1106,0
'2016-02-04 00:00:00',10,'AUT','Austria',1090.67,1091,0
'2016-02-04 00:00:00',11,'URU','Uruguay',1073.69,1074,0
'2016-02-04 00:00:00',12,'SUI','Switzerland',1049.59,1050,0
'2016-02-04 00:00:00',13,'ECU','Ecuador',1039.69,1040,0
'2016-02-04 00:00:00',14,'NED','Netherlands',994.38,994,0
'2016-02-04 00:00:00',15,'ITA','Italy',990.53,991,0
'2016-02-04 00:00:00',16,'ROU','Romania',986.62,980,0
'2016-02-04 00:00:00',17,'WAL','Wales',974.35,974,0
'2016-02-04 00:00:00',18,'CRO','Croatia',957.56,958,0
'2016-02-04 00:00:00',19,'HUN','Hungary',944.53,945,1
'2016-02-04 00:00:00',20,'TUR','Turkey',933.43,933,1
'2016-02-04 00:00:00',21,'BIH','Bosnia and Herzegovina',905.47,905,1
'2016-02-04 00:00:00',22,'MEX','Mexico',897.74,898,1
'2016-02-04 00:00:00',23,'RUS','Russia',895.44,895,1
'2016-02-04 00:00:00',24,'FRA','France',867.73,868,1
'2016-02-04 00:00:00',25,'SVK','Slovakia',860.21,860,1
'2016-02-04 00:00:00',25,'CZE','Czech Republic',860.05,860,1
'2016-02-04 00:00:00',27,'UKR','Ukraine',841.57,842,2
'2016-02-04 00:00:00',28,'CIV','Côte d'Ivoire',827.81,950,-9
'2016-02-04 00:00:00',29,'NIR','Northern Ireland',824.83,825,1
'2016-02-04 00:00:00',30,'IRL','Republic of Ireland',809.57,810,1
'2016-02-04 00:00:00',31,'CRC','Costa Rica',799.13,759,6
'2016-02-04 00:00:00',32,'USA','USA',792.84,784,0
'2016-02-04 00:00:00',33,'CPV','Cape Verde Islands',790.34,745,6
'2016-02-04 00:00:00',34,'POL','Poland',787.27,769,1
'2016-02-04 00:00:00',35,'SWE','Sweden',771.04,771,-1
