date, rank, team_id, team_name, points, points_prev, rank_prev
'2013-11-28 00:00:00',1,'ESP','Spain',1507.03,1513,0
'2013-11-28 00:00:00',2,'GER','Germany',1317.51,1311,0
'2013-11-28 00:00:00',3,'ARG','Argentina',1251.01,1266,0
'2013-11-28 00:00:00',4,'COL','Colombia',1200.39,1178,0
'2013-11-28 00:00:00',5,'POR','Portugal',1172.48,1036,9
'2013-11-28 00:00:00',6,'URU','Uruguay',1131.85,1164,0
'2013-11-28 00:00:00',7,'ITA','Italy',1120.41,1136,1
'2013-11-28 00:00:00',8,'SUI','Switzerland',1113.41,1138,-1
'2013-11-28 00:00:00',9,'NED','Netherlands',1105.94,1136,-1
'2013-11-28 00:00:00',10,'BRA','Brazil',1102.21,1078,1
'2013-11-28 00:00:00',11,'BEL','Belgium',1098.31,1175,-6
'2013-11-28 00:00:00',12,'GRE','Greece',1054.58,983,3
'2013-11-28 00:00:00',13,'ENG','England',1041.13,1080,-3
'2013-11-28 00:00:00',14,'USA','USA',1018.71,1040,-1
'2013-11-28 00:00:00',15,'CHI','Chile',1014.23,1051,-3
'2013-11-28 00:00:00',16,'CRO','Croatia',970.72,901,2
'2013-11-28 00:00:00',17,'CIV','Côte d'Ivoire',917.86,917,0
'2013-11-28 00:00:00',18,'UKR','Ukraine',907.01,871,2
'2013-11-28 00:00:00',19,'FRA','France',893.16,870,2
'2013-11-28 00:00:00',20,'MEX','Mexico',891.92,854,4
'2013-11-28 00:00:00',21,'BIH','Bosnia and Herzegovina',886.35,925,-5
'2013-11-28 00:00:00',22,'RUS','Russia',870.06,874,-3
'2013-11-28 00:00:00',23,'ECU','Ecuador',851.73,862,-1
'2013-11-28 00:00:00',24,'GHA','Ghana',848.68,860,-1
'2013-11-28 00:00:00',25,'DEN','Denmark',830.61,824,1
'2013-11-28 00:00:00',26,'ALG','Algeria',799.99,741,6
'2013-11-28 00:00:00',27,'SWE','Sweden',792.66,850,-2
'2013-11-28 00:00:00',28,'CZE','Czech Republic',766.07,783,-1
'2013-11-28 00:00:00',29,'SVN','Slovenia',761.78,752,1
'2013-11-28 00:00:00',30,'SRB','Serbia',752.01,778,-2
'2013-11-28 00:00:00',31,'CRC','Costa Rica',737.62,744,0
'2013-11-28 00:00:00',32,'ROU','Romania',733.7,767,-3
'2013-11-28 00:00:00',33,'SCO','Scotland',716.57,715,2
'2013-11-28 00:00:00',34,'ARM','Armenia',715.98,687,4
'2013-11-28 00:00:00',35,'VEN','Venezuela',711.18,692,2
'2013-11-28 00:00:00',36,'NGA','Nigeria',710.08,724,-3
'2013-11-28 00:00:00',37,'PAN','Panama',705.31,702,-1
'2013-11-28 00:00:00',38,'EGY','Egypt',698.86,610,13
'2013-11-28 00:00:00',39,'CPV','Cape Verde Islands',698.04,662,3
'2013-11-28 00:00:00',39,'PER','Peru',697.52,686,0
'2013-11-28 00:00:00',41,'HON','Honduras',687.78,720,-7
'2013-11-28 00:00:00',42,'MLI','Mali',683.8,668,-1
'2013-11-28 00:00:00',43,'TUR','Turkey',677.05,670,-3
'2013-11-28 00:00:00',44,'HUN','Hungary',668.1,636,-1
'2013-11-28 00:00:00',45,'IRN','IR Iran',650.29,613,4
'2013-11-28 00:00:00',46,'AUT','Austria',648.48,596,7
'2013-11-28 00:00:00',47,'CUB','Cuba',641.13,492,27
'2013-11-28 00:00:00',48,'JPN','Japan',638.37,634,-4
'2013-11-28 00:00:00',49,'TUN','Tunisia',631.84,632,-2
'2013-11-28 00:00:00',50,'ISL','Iceland',623.77,633,-4
'2013-11-28 00:00:00',51,'CMR','Cameroon',612.02,554,8
'2013-11-28 00:00:00',52,'PAR','Paraguay',599.83,613,-3
