date, rank, team_id, team_name, points, points_prev, rank_prev
'2012-08-08 00:00:00',1,'ESP','Spain',1604.52,1691,0
'2012-08-08 00:00:00',2,'GER','Germany',1473.88,1502,0
'2012-08-08 00:00:00',3,'ENG','England',1293.9,1294,1
'2012-08-08 00:00:00',4,'URU','Uruguay',1236.13,1297,-1
'2012-08-08 00:00:00',5,'POR','Portugal',1212.76,1213,0
'2012-08-08 00:00:00',6,'ITA','Italy',1192.25,1192,0
'2012-08-08 00:00:00',7,'ARG','Argentina',1098.02,1095,0
'2012-08-08 00:00:00',8,'NED','Netherlands',1053.37,1079,0
'2012-08-08 00:00:00',9,'CRO','Croatia',1050.49,1050,0
'2012-08-08 00:00:00',10,'DEN','Denmark',1017.26,1017,0
'2012-08-08 00:00:00',11,'RUS','Russia',1016.35,981,2
'2012-08-08 00:00:00',12,'GRE','Greece',1002.66,1003,0
'2012-08-08 00:00:00',13,'BRA','Brazil',991,1012,-2
'2012-08-08 00:00:00',14,'FRA','France',979.62,980,0
'2012-08-08 00:00:00',15,'CHI','Chile',953.07,961,0
'2012-08-08 00:00:00',16,'CIV','Côte d'Ivoire',939.02,939,0
'2012-08-08 00:00:00',17,'SWE','Sweden',909.27,909,0
'2012-08-08 00:00:00',18,'MEX','Mexico',861.88,832,1
'2012-08-08 00:00:00',19,'CZE','Czech Republic',854.09,854,-1
'2012-08-08 00:00:00',20,'ECU','Ecuador',836.36,752,7
'2012-08-08 00:00:00',21,'COL','Colombia',835.41,814,1
'2012-08-08 00:00:00',22,'JPN','Japan',829.19,829,-2
'2012-08-08 00:00:00',23,'SUI','Switzerland',828.02,828,-2
'2012-08-08 00:00:00',24,'AUS','Australia',806.68,807,-1
'2012-08-08 00:00:00',25,'NOR','Norway',779.94,780,-1
'2012-08-08 00:00:00',26,'IRL','Republic of Ireland',779.04,762,0
'2012-08-08 00:00:00',27,'PAR','Paraguay',747.47,772,-2
'2012-08-08 00:00:00',28,'HUN','Hungary',746.23,716,3
'2012-08-08 00:00:00',29,'KOR','Korea Republic',739.57,740,-1
'2012-08-08 00:00:00',30,'TUR','Turkey',734.66,735,-1
'2012-08-08 00:00:00',31,'BIH','Bosnia and Herzegovina',728.72,729,-1
'2012-08-08 00:00:00',32,'GHA','Ghana',707.27,707,1
'2012-08-08 00:00:00',33,'SVN','Slovenia',705.6,706,1
'2012-08-08 00:00:00',34,'ALG','Algeria',693.43,693,1
'2012-08-08 00:00:00',35,'SRB','Serbia',675.03,675,2
'2012-08-08 00:00:00',36,'USA','USA',672.13,687,0
'2012-08-08 00:00:00',37,'WAL','Wales',658.3,658,1
'2012-08-08 00:00:00',38,'LBY','Libya',655.26,655,1
'2012-08-08 00:00:00',39,'MLI','Mali',650.1,650,1
'2012-08-08 00:00:00',40,'EGY','Egypt',636.74,631,2
'2012-08-08 00:00:00',41,'TUN','Tunisia',627.35,627,2
'2012-08-08 00:00:00',42,'SVK','Slovakia',626.43,626,2
'2012-08-08 00:00:00',43,'GAB','Gabon',623.66,624,2
'2012-08-08 00:00:00',44,'ZAM','Zambia',623.14,648,-3
'2012-08-08 00:00:00',45,'UKR','Ukraine',620.56,621,1
'2012-08-08 00:00:00',46,'SCO','Scotland',611.44,611,3
'2012-08-08 00:00:00',47,'PER','Peru',606.97,712,-15
'2012-08-08 00:00:00',48,'IRN','IR Iran',590.2,581,2
'2012-08-08 00:00:00',49,'EST','Estonia',587.12,554,7
'2012-08-08 00:00:00',50,'MNE','Montenegro',581.46,581,0
'2012-08-08 00:00:00',51,'ROU','Romania',579.77,580,1
'2012-08-08 00:00:00',52,'VEN','Venezuela',570.29,615,-5
'2012-08-08 00:00:00',53,'BEL','Belgium',563.61,564,0
'2012-08-08 00:00:00',54,'POL','Poland',559.87,560,0
'2012-08-08 00:00:00',54,'PAN','Panama',560.2,612,-6
'2012-08-08 00:00:00',56,'ARM','Armenia',559.06,559,-1
'2012-08-08 00:00:00',57,'SLE','Sierra Leone',528.64,488,8
'2012-08-08 00:00:00',58,'NGA','Nigeria',525.09,525,0
'2012-08-08 00:00:00',59,'CMR','Cameroon',519.95,520,0
'2012-08-08 00:00:00',60,'AUT','Austria',517.46,517,0
'2012-08-08 00:00:00',61,'SEN','Senegal',506.31,506,0
'2012-08-08 00:00:00',62,'CRC','Costa Rica',500.73,541,-5
'2012-08-08 00:00:00',63,'UZB','Uzbekistan',492.52,488,2
'2012-08-08 00:00:00',64,'SLV','El Salvador',489.89,487,3
'2012-08-08 00:00:00',65,'HON','Honduras',486.05,496,-2
'2012-08-08 00:00:00',66,'JAM','Jamaica',478.88,496,-3
'2012-08-08 00:00:00',67,'RSA','South Africa',474.46,474,1
'2012-08-08 00:00:00',68,'MAR','Morocco',472.51,471,3
'2012-08-08 00:00:00',69,'CHN','China PR',470.4,474,-1
'2012-08-08 00:00:00',70,'LVA','Latvia',463.42,466,2
'2012-08-08 00:00:00',71,'CTA','Central African Republic',461.66,462,2
'2012-08-08 00:00:00',72,'FIN','Finland',450.55,458,2
'2012-08-08 00:00:00',73,'BOL','Bolivia',449.17,419,10
'2012-08-08 00:00:00',74,'ALB','Albania',447.85,448,1
