date, rank, team_id, team_name, points, points_prev, rank_prev
'2016-04-07 00:00:00',1,'ARG','Argentina',1531.67,1457,1
'2016-04-07 00:00:00',2,'BEL','Belgium',1351.56,1506,-1
'2016-04-07 00:00:00',3,'CHI','Chile',1347.63,1307,2
'2016-04-07 00:00:00',4,'COL','Colombia',1336.71,1215,4
'2016-04-07 00:00:00',5,'GER','Germany',1309.31,1355,-1
'2016-04-07 00:00:00',6,'ESP','Spain',1276.81,1374,-3
'2016-04-07 00:00:00',7,'BRA','Brazil',1250.94,1254,-1
'2016-04-07 00:00:00',8,'POR','Portugal',1184.03,1234,-1
'2016-04-07 00:00:00',9,'URU','Uruguay',1157.57,1082,2
'2016-04-07 00:00:00',10,'ENG','England',1069.34,1112,-1
'2016-04-07 00:00:00',11,'AUT','Austria',1066.83,1095,-1
'2016-04-07 00:00:00',12,'ECU','Ecuador',1018.76,1039,1
'2016-04-07 00:00:00',13,'TUR','Turkey',983.38,943,7
'2016-04-07 00:00:00',14,'SUI','Switzerland',974.11,1070,-2
'2016-04-07 00:00:00',15,'ITA','Italy',958.79,999,-1
'2016-04-07 00:00:00',16,'MEX','Mexico',933.51,902,6
'2016-04-07 00:00:00',17,'NED','Netherlands',930.54,997,-2
'2016-04-07 00:00:00',18,'HUN','Hungary',925.03,951,1
'2016-04-07 00:00:00',19,'ROU','Romania',922.29,990,-3
'2016-04-07 00:00:00',20,'BIH','Bosnia and Herzegovina',913.11,917,1
'2016-04-07 00:00:00',21,'FRA','France',906.99,871,3
'2016-04-07 00:00:00',22,'UKR','Ukraine',879.75,845,5
'2016-04-07 00:00:00',23,'CRO','Croatia',855.61,965,-5
'2016-04-07 00:00:00',24,'WAL','Wales',839.38,984,-7
'2016-04-07 00:00:00',25,'CRC','Costa Rica',826.35,784,8
'2016-04-07 00:00:00',26,'NIR','Northern Ireland',824.95,833,2
'2016-04-07 00:00:00',27,'POL','Poland',821.5,789,4
'2016-04-07 00:00:00',27,'RUS','Russia',821.13,892,-4
'2016-04-07 00:00:00',29,'CZE','Czech Republic',809.99,861,-4
'2016-04-07 00:00:00',29,'USA','USA',809.62,792,1
'2016-04-07 00:00:00',31,'IRL','Republic of Ireland',792.45,809,-2
'2016-04-07 00:00:00',32,'SVK','Slovakia',784.25,858,-6
'2016-04-07 00:00:00',33,'ALG','Algeria',770.97,743,4
'2016-04-07 00:00:00',34,'CIV','Côte d'Ivoire',738.38,744,2
'2016-04-07 00:00:00',35,'ISL','Iceland',724.13,741,3
'2016-04-07 00:00:00',36,'SWE','Sweden',713.3,769,-2
'2016-04-07 00:00:00',37,'GRE','Greece',694.68,718,2
'2016-04-07 00:00:00',38,'GHA','Ghana',693.03,656,3
'2016-04-07 00:00:00',39,'PAR','Paraguay',689.66,642,4
'2016-04-07 00:00:00',40,'SCO','Scotland',687.32,617,5
'2016-04-07 00:00:00',41,'DEN','Denmark',686.47,706,-1
'2016-04-07 00:00:00',42,'IRN','IR Iran',672.3,627,2
'2016-04-07 00:00:00',43,'SEN','Senegal',651.48,603,5
'2016-04-07 00:00:00',44,'EGY','Egypt',647.52,589,9
'2016-04-07 00:00:00',45,'ALB','Albania',631.96,754,-10
'2016-04-07 00:00:00',46,'PER','Peru',624.55,646,-4
'2016-04-07 00:00:00',47,'CPV','Cape Verde Islands',620.4,789,-16
'2016-04-07 00:00:00',47,'TUN','Tunisia',620.37,609,0
'2016-04-07 00:00:00',49,'NOR','Norway',605.38,594,2
'2016-04-07 00:00:00',50,'AUS','Australia',600.64,506,17
'2016-04-07 00:00:00',51,'COD','Congo DR',596.37,565,7
'2016-04-07 00:00:00',52,'PAN','Panama',592.93,576,3
'2016-04-07 00:00:00',53,'TRI','Trinidad and Tobago',591.95,598,-4
'2016-04-07 00:00:00',54,'JAM','Jamaica',584.7,593,-2
'2016-04-07 00:00:00',55,'SRB','Serbia',580.77,596,-5
'2016-04-07 00:00:00',56,'KOR','Korea Republic',579.33,566,1
'2016-04-07 00:00:00',57,'JPN','Japan',577.02,575,-1
'2016-04-07 00:00:00',58,'GUI','Guinea',570.27,540,5
'2016-04-07 00:00:00',59,'CGO','Congo',561.89,564,0
'2016-04-07 00:00:00',60,'KSA','Saudi Arabia',559.01,562,0
