date, rank, team_id, team_name, points, points_prev, rank_prev
'2013-07-04 00:00:00',1,'ESP','Spain',1532.4,1614,0
'2013-07-04 00:00:00',2,'GER','Germany',1273.25,1416,0
'2013-07-04 00:00:00',3,'COL','Colombia',1206.12,1123,4
'2013-07-04 00:00:00',4,'ARG','Argentina',1204.4,1287,-1
'2013-07-04 00:00:00',5,'NED','Netherlands',1180.33,1158,0
'2013-07-04 00:00:00',6,'ITA','Italy',1142.2,1097,2
'2013-07-04 00:00:00',7,'POR','Portugal',1099.28,1137,-1
'2013-07-04 00:00:00',8,'CRO','Croatia',1098.11,1222,-4
'2013-07-04 00:00:00',9,'BRA','Brazil',1094.83,872,13
'2013-07-04 00:00:00',10,'BEL','Belgium',1079.24,1035,2
'2013-07-04 00:00:00',11,'GRE','Greece',1037.57,1006,5
'2013-07-04 00:00:00',12,'URU','Uruguay',1015.61,913,7
'2013-07-04 00:00:00',13,'CIV','Côte d'Ivoire',1008.9,1022,0
'2013-07-04 00:00:00',14,'BIH','Bosnia and Herzegovina',994.78,1008,1
'2013-07-04 00:00:00',15,'ENG','England',993.6,1095,-6
'2013-07-04 00:00:00',16,'SUI','Switzerland',987.24,1010,-2
'2013-07-04 00:00:00',17,'RUS','Russia',979.01,1059,-6
'2013-07-04 00:00:00',18,'ECU','Ecuador',931.59,1066,-8
'2013-07-04 00:00:00',19,'PER','Peru',897.99,791,11
'2013-07-04 00:00:00',20,'MEX','Mexico',879.55,928,-3
'2013-07-04 00:00:00',21,'CHI','Chile',871.79,841,4
'2013-07-04 00:00:00',22,'USA','USA',865.1,798,6
'2013-07-04 00:00:00',23,'FRA','France',838.05,922,-5
'2013-07-04 00:00:00',24,'GHA','Ghana',829.52,887,-3
'2013-07-04 00:00:00',25,'NOR','Norway',800.8,794,4
'2013-07-04 00:00:00',26,'CZE','Czech Republic',796.83,853,-2
'2013-07-04 00:00:00',27,'DEN','Denmark',787.51,890,-7
'2013-07-04 00:00:00',28,'MLI','Mali',774.38,869,-5
'2013-07-04 00:00:00',28,'MNE','Montenegro',774.34,841,-3
'2013-07-04 00:00:00',28,'UKR','Ukraine',773.64,687,11
'2013-07-04 00:00:00',31,'SWE','Sweden',764.5,830,-4
'2013-07-04 00:00:00',32,'HUN','Hungary',748.83,759,1
'2013-07-04 00:00:00',33,'ROU','Romania',731.98,750,1
'2013-07-04 00:00:00',34,'ALG','Algeria',730.36,737,1
'2013-07-04 00:00:00',35,'NGA','Nigeria',723.3,785,-4
'2013-07-04 00:00:00',36,'VEN','Venezuela',703.82,712,1
'2013-07-04 00:00:00',37,'ALB','Albania',689.2,690,1
'2013-07-04 00:00:00',37,'JPN','Japan',689.43,765,-5
'2013-07-04 00:00:00',39,'CRC','Costa Rica',688.05,617,9
'2013-07-04 00:00:00',40,'AUS','Australia',671.03,619,7
'2013-07-04 00:00:00',41,'SRB','Serbia',660.57,723,-5
'2013-07-04 00:00:00',42,'BFA','Burkina Faso',655.68,594,9
'2013-07-04 00:00:00',43,'KOR','Korea Republic',641.69,666,-3
'2013-07-04 00:00:00',44,'IRL','Republic of Ireland',639.12,659,-3
'2013-07-04 00:00:00',45,'SVN','Slovenia',633.76,568,10
'2013-07-04 00:00:00',46,'WAL','Wales',629.7,638,-1
'2013-07-04 00:00:00',47,'TUN','Tunisia',626.91,652,-5
'2013-07-04 00:00:00',48,'PAR','Paraguay',621.92,640,-4
'2013-07-04 00:00:00',49,'CPV','Cape Verde Islands',619.61,486,23
'2013-07-04 00:00:00',50,'SCO','Scotland',609.66,481,24
'2013-07-04 00:00:00',51,'PAN','Panama',601.39,649,-8
'2013-07-04 00:00:00',52,'BUL','Bulgaria',595.57,628,-6
'2013-07-04 00:00:00',52,'IRN','IR Iran',595.84,506,15
'2013-07-04 00:00:00',54,'AUT','Austria',594.93,469,22
'2013-07-04 00:00:00',55,'HON','Honduras',581.6,582,-3
'2013-07-04 00:00:00',55,'NZL','New Zealand',581.83,551,2
'2013-07-04 00:00:00',57,'TUR','Turkey',572.99,573,-3
'2013-07-04 00:00:00',58,'UZB','Uzbekistan',563.48,550,0
'2013-07-04 00:00:00',59,'RSA','South Africa',558.23,542,1
'2013-07-04 00:00:00',60,'ZAM','Zambia',554.4,602,-11
'2013-07-04 00:00:00',61,'GUI','Guinea',544.71,438,24
'2013-07-04 00:00:00',62,'EGY','Egypt',542.88,491,9
'2013-07-04 00:00:00',63,'SVK','Slovakia',542.3,565,-7
'2013-07-04 00:00:00',64,'ISR','Israel',539.6,540,-2
'2013-07-04 00:00:00',65,'FIN','Finland',537.25,442,19
'2013-07-04 00:00:00',66,'ARM','Armenia',533.75,408,23
'2013-07-04 00:00:00',67,'EQG','Equatorial Guinea',532.41,523,-3
'2013-07-04 00:00:00',68,'BOL','Bolivia',527.59,578,-15
'2013-07-04 00:00:00',69,'HAI','Haiti',522.17,538,-6
'2013-07-04 00:00:00',70,'LBY','Libya',518.48,498,-1
