date, rank, team_id, team_name, points, points_prev, rank_prev
'2015-06-04 00:00:00',1,'GER','Germany',1775.03,1687,0
'2015-06-04 00:00:00',2,'BEL','Belgium',1508.72,1457,1
'2015-06-04 00:00:00',3,'ARG','Argentina',1496.26,1494,-1
'2015-06-04 00:00:00',4,'COL','Colombia',1434.92,1412,0
'2015-06-04 00:00:00',5,'BRA','Brazil',1392.1,1372,0
'2015-06-04 00:00:00',6,'NED','Netherlands',1377.91,1301,0
'2015-06-04 00:00:00',7,'POR','Portugal',1229.46,1221,0
'2015-06-04 00:00:00',8,'URU','Uruguay',1183.33,1176,0
'2015-06-04 00:00:00',9,'FRA','France',1163.87,1127,2
'2015-06-04 00:00:00',10,'ESP','Spain',1147.01,1132,0
'2015-06-04 00:00:00',11,'SUI','Switzerland',1145.54,1135,-2
'2015-06-04 00:00:00',12,'ROU','Romania',1114.65,1086,0
'2015-06-04 00:00:00',13,'ITA','Italy',1100.58,1085,0
'2015-06-04 00:00:00',14,'CRC','Costa Rica',1056.16,1016,1
'2015-06-04 00:00:00',15,'ENG','England',1051.11,1030,-1
'2015-06-04 00:00:00',16,'CZE','Czech Republic',1035.54,923,2
'2015-06-04 00:00:00',17,'SVK','Slovakia',1012.31,920,2
'2015-06-04 00:00:00',18,'CRO','Croatia',991.97,977,-1
'2015-06-04 00:00:00',19,'CHI','Chile',989.45,1002,-3
'2015-06-04 00:00:00',20,'AUT','Austria',946.3,891,5
'2015-06-04 00:00:00',21,'ALG','Algeria',941.49,917,-1
'2015-06-04 00:00:00',22,'WAL','Wales',929.14,916,-1
'2015-06-04 00:00:00',23,'MEX','Mexico',926.19,908,-1
'2015-06-04 00:00:00',24,'CIV','Côte d'Ivoire',916.26,907,-1
'2015-06-04 00:00:00',25,'GRE','Greece',898.82,900,-1
'2015-06-04 00:00:00',26,'RUS','Russia',832.65,828,1
'2015-06-04 00:00:00',27,'USA','USA',823.24,825,1
'2015-06-04 00:00:00',28,'SCO','Scotland',818.22,796,2
'2015-06-04 00:00:00',29,'TUN','Tunisia',807.87,793,2
'2015-06-04 00:00:00',29,'DEN','Denmark',807.8,808,0
'2015-06-04 00:00:00',31,'ECU','Ecuador',806.07,762,3
'2015-06-04 00:00:00',32,'BIH','Bosnia and Herzegovina',802.36,783,0
'2015-06-04 00:00:00',32,'POL','Poland',801.55,753,3
'2015-06-04 00:00:00',34,'GHA','Ghana',800.39,833,-8
'2015-06-04 00:00:00',35,'UKR','Ukraine',784.07,772,-2
'2015-06-04 00:00:00',36,'SEN','Senegal',781.55,752,0
'2015-06-04 00:00:00',37,'ISL','Iceland',769.02,728,1
'2015-06-04 00:00:00',38,'CPV','Cape Verde Islands',745.58,737,-1
'2015-06-04 00:00:00',39,'SWE','Sweden',737.33,704,0
'2015-06-04 00:00:00',40,'ISR','Israel',725.27,649,6
'2015-06-04 00:00:00',41,'IRN','IR Iran',716.55,689,-1
'2015-06-04 00:00:00',42,'HUN','Hungary',684.88,665,1
'2015-06-04 00:00:00',43,'NGA','Nigeria',680.68,659,2
'2015-06-04 00:00:00',44,'NIR','Northern Ireland',675.63,672,-2
'2015-06-04 00:00:00',45,'GUI','Guinea',673.37,678,-4
'2015-06-04 00:00:00',45,'SRB','Serbia',672.56,664,-1
'2015-06-04 00:00:00',47,'CGO','Congo',666.13,624,2
'2015-06-04 00:00:00',48,'SVN','Slovenia',652.79,648,-1
'2015-06-04 00:00:00',49,'CMR','Cameroon',640.59,627,-1
'2015-06-04 00:00:00',50,'EQG','Equatorial Guinea',635.31,549,11
'2015-06-04 00:00:00',51,'ALB','Albania',623.72,575,6
'2015-06-04 00:00:00',52,'JPN','Japan',622.81,614,-2
'2015-06-04 00:00:00',52,'MLI','Mali',622.68,578,4
'2015-06-04 00:00:00',54,'PAN','Panama',597.39,587,-1
'2015-06-04 00:00:00',55,'EGY','Egypt',595.74,612,-4
'2015-06-04 00:00:00',56,'COD','Congo DR',591.2,584,-2
'2015-06-04 00:00:00',57,'TUR','Turkey',589.71,603,-5
'2015-06-04 00:00:00',58,'KOR','Korea Republic',586.54,575,-1
'2015-06-04 00:00:00',59,'GAB','Gabon',582.73,583,-4
'2015-06-04 00:00:00',60,'IRL','Republic of Ireland',580.62,546,2
'2015-06-04 00:00:00',61,'PER','Peru',546.3,532,2
'2015-06-04 00:00:00',62,'BUL','Bulgaria',536.6,505,5
'2015-06-04 00:00:00',63,'AUS','Australia',532.18,531,1
'2015-06-04 00:00:00',64,'NOR','Norway',527.71,491,6
'2015-06-04 00:00:00',65,'JAM','Jamaica',523.88,466,9
'2015-06-04 00:00:00',66,'BFA','Burkina Faso',520.24,517,0
