date, rank, team_id, team_name, points, points_prev, rank_prev
'2013-05-09 00:00:00',1,'ESP','Spain',1538.11,1538,0
'2013-05-09 00:00:00',2,'GER','Germany',1428.16,1428,0
'2013-05-09 00:00:00',3,'ARG','Argentina',1296.07,1292,0
'2013-05-09 00:00:00',4,'CRO','Croatia',1190.81,1191,0
'2013-05-09 00:00:00',5,'POR','Portugal',1162.63,1163,0
'2013-05-09 00:00:00',6,'COL','Colombia',1154.18,1154,0
'2013-05-09 00:00:00',7,'ENG','England',1134.68,1135,0
'2013-05-09 00:00:00',8,'ITA','Italy',1117.49,1117,0
'2013-05-09 00:00:00',9,'NED','Netherlands',1093.16,1093,0
'2013-05-09 00:00:00',10,'ECU','Ecuador',1058.15,1056,0
'2013-05-09 00:00:00',11,'RUS','Russia',1051.67,1052,0
'2013-05-09 00:00:00',12,'CIV','Côte d'Ivoire',1008.15,1008,0
'2013-05-09 00:00:00',13,'GRE','Greece',986.14,986,0
'2013-05-09 00:00:00',14,'SUI','Switzerland',967.01,967,1
'2013-05-09 00:00:00',15,'BEL','Belgium',953.16,953,1
'2013-05-09 00:00:00',16,'MEX','Mexico',945.4,971,-2
'2013-05-09 00:00:00',17,'URU','Uruguay',931.88,932,0
'2013-05-09 00:00:00',18,'FRA','France',913.94,914,0
'2013-05-09 00:00:00',19,'BRA','Brazil',902.25,909,0
'2013-05-09 00:00:00',20,'DEN','Denmark',899.74,900,0
'2013-05-09 00:00:00',21,'BIH','Bosnia and Herzegovina',895.91,896,0
'2013-05-09 00:00:00',22,'GHA','Ghana',874.44,874,0
'2013-05-09 00:00:00',23,'CHI','Chile',847.49,870,0
'2013-05-09 00:00:00',24,'SWE','Sweden',838.45,838,0
'2013-05-09 00:00:00',25,'CZE','Czech Republic',829.21,829,0
'2013-05-09 00:00:00',26,'MLI','Mali',826.45,826,0
'2013-05-09 00:00:00',27,'MNE','Montenegro',789.32,789,0
'2013-05-09 00:00:00',28,'NGA','Nigeria',780.27,757,3
'2013-05-09 00:00:00',29,'USA','USA',779.25,779,-1
'2013-05-09 00:00:00',30,'JPN','Japan',772.56,773,-1
'2013-05-09 00:00:00',31,'NOR','Norway',759.69,760,-1
'2013-05-09 00:00:00',32,'PER','Peru',752.89,752,0
'2013-05-09 00:00:00',33,'HUN','Hungary',748.99,749,0
'2013-05-09 00:00:00',34,'ROU','Romania',745.7,746,0
'2013-05-09 00:00:00',35,'ALG','Algeria',735.21,735,0
'2013-05-09 00:00:00',36,'VEN','Venezuela',702.82,708,0
'2013-05-09 00:00:00',37,'UKR','Ukraine',674.53,675,0
'2013-05-09 00:00:00',38,'PAN','Panama',662.71,663,0
'2013-05-09 00:00:00',39,'IRL','Republic of Ireland',662,662,0
'2013-05-09 00:00:00',40,'SRB','Serbia',658.65,659,0
'2013-05-09 00:00:00',41,'TUN','Tunisia',647.31,647,0
'2013-05-09 00:00:00',42,'KOR','Korea Republic',643.65,644,0
'2013-05-09 00:00:00',43,'ALB','Albania',639.87,596,5
'2013-05-09 00:00:00',44,'PAR','Paraguay',633.72,643,-1
'2013-05-09 00:00:00',44,'TUR','Turkey',634.03,634,0
'2013-05-09 00:00:00',46,'ZAM','Zambia',628.38,632,-1
'2013-05-09 00:00:00',47,'AUS','Australia',624.45,624,-1
'2013-05-09 00:00:00',48,'CRC','Costa Rica',615.58,606,-1
'2013-05-09 00:00:00',49,'WAL','Wales',588.54,589,0
'2013-05-09 00:00:00',50,'BFA','Burkina Faso',586.79,587,0
'2013-05-09 00:00:00',50,'HON','Honduras',587.22,581,2
'2013-05-09 00:00:00',52,'BUL','Bulgaria',582.6,583,-1
'2013-05-09 00:00:00',53,'JAM','Jamaica',570.65,564,0
'2013-05-09 00:00:00',54,'SVK','Slovakia',562.62,563,0
'2013-05-09 00:00:00',55,'SVN','Slovenia',560.41,560,0
'2013-05-09 00:00:00',56,'RSA','South Africa',540.56,530,6
'2013-05-09 00:00:00',57,'IRN','IR Iran',538.18,538,-1
'2013-05-09 00:00:00',58,'BOL','Bolivia',536.82,537,-1
'2013-05-09 00:00:00',59,'ISR','Israel',536.14,536,-1
