date, rank, team_id, team_name, points, points_prev, rank_prev
'2011-05-18 00:00:00',1,'ESP','Spain',0,1857,0
'2011-05-18 00:00:00',2,'NED','Netherlands',0,1702,0
'2011-05-18 00:00:00',3,'BRA','Brazil',0,1426,0
'2011-05-18 00:00:00',4,'GER','Germany',0,1386,0
'2011-05-18 00:00:00',5,'ARG','Argentina',0,1276,0
'2011-05-18 00:00:00',6,'ENG','England',0,1163,0
'2011-05-18 00:00:00',7,'URU','Uruguay',0,1094,0
'2011-05-18 00:00:00',8,'POR','Portugal',0,1052,0
'2011-05-18 00:00:00',9,'ITA','Italy',0,1019,0
'2011-05-18 00:00:00',10,'CRO','Croatia',0,991,0
'2011-05-18 00:00:00',11,'NOR','Norway',0,987,0
'2011-05-18 00:00:00',12,'GRE','Greece',0,985,0
'2011-05-18 00:00:00',13,'CHI','Chile',0,952,1
'2011-05-18 00:00:00',14,'JPN','Japan',0,965,-1
'2011-05-18 00:00:00',15,'GHA','Ghana',0,918,0
'2011-05-18 00:00:00',16,'SRB','Serbia',0,907,0
'2011-05-18 00:00:00',17,'SVN','Slovenia',0,902,0
'2011-05-18 00:00:00',18,'RUS','Russia',0,897,0
'2011-05-18 00:00:00',19,'FRA','France',0,883,0
'2011-05-18 00:00:00',20,'AUS','Australia',0,878,0
'2011-05-18 00:00:00',21,'CIV','Côte d'Ivoire',0,867,0
'2011-05-18 00:00:00',22,'USA','USA',0,855,0
'2011-05-18 00:00:00',23,'PAR','Paraguay',0,843,0
'2011-05-18 00:00:00',24,'MNE','Montenegro',0,820,0
'2011-05-18 00:00:00',25,'SUI','Switzerland',0,819,0
'2011-05-18 00:00:00',26,'SVK','Slovakia',0,809,1
'2011-05-18 00:00:00',27,'DEN','Denmark',0,808,1
'2011-05-18 00:00:00',28,'SWE','Sweden',0,802,1
'2011-05-18 00:00:00',28,'MEX','Mexico',0,818,-2
'2011-05-18 00:00:00',30,'TUR','Turkey',0,795,0
'2011-05-18 00:00:00',31,'KOR','Korea Republic',0,753,0
'2011-05-18 00:00:00',32,'CZE','Czech Republic',0,722,0
'2011-05-18 00:00:00',33,'ISR','Israel',0,709,0
'2011-05-18 00:00:00',34,'IRL','Republic of Ireland',0,681,0
'2011-05-18 00:00:00',35,'UKR','Ukraine',0,678,0
'2011-05-18 00:00:00',36,'EGY','Egypt',0,676,0
'2011-05-18 00:00:00',37,'BEL','Belgium',0,654,0
'2011-05-18 00:00:00',38,'RSA','South Africa',0,616,1
'2011-05-18 00:00:00',39,'NGA','Nigeria',0,637,-1
'2011-05-18 00:00:00',40,'SEN','Senegal',0,561,11
'2011-05-18 00:00:00',41,'ALG','Algeria',0,609,-1
'2011-05-18 00:00:00',42,'ROU','Romania',0,607,-1
'2011-05-18 00:00:00',43,'HON','Honduras',0,597,0
'2011-05-18 00:00:00',44,'BFA','Burkina Faso',0,600,-2
'2011-05-18 00:00:00',45,'BIH','Bosnia and Herzegovina',0,594,-1
'2011-05-18 00:00:00',46,'BUL','Bulgaria',0,591,-1
'2011-05-18 00:00:00',47,'IRN','IR Iran',0,578,-1
'2011-05-18 00:00:00',48,'LTU','Lithuania',0,577,-1
'2011-05-18 00:00:00',49,'CMR','Cameroon',0,572,-1
'2011-05-18 00:00:00',50,'COL','Colombia',0,568,-1
'2011-05-18 00:00:00',50,'ALB','Albania',0,564,0
'2011-05-18 00:00:00',52,'HUN','Hungary',0,559,0
'2011-05-18 00:00:00',53,'BLR','Belarus',0,557,0
'2011-05-18 00:00:00',54,'PER','Peru',0,548,0
'2011-05-18 00:00:00',55,'JAM','Jamaica',0,522,9
'2011-05-18 00:00:00',56,'CRC','Costa Rica',0,540,-1
'2011-05-18 00:00:00',57,'GEO','Georgia',0,536,-1
'2011-05-18 00:00:00',58,'LBY','Libya',0,534,0
'2011-05-18 00:00:00',59,'GAB','Gabon',0,529,0
'2011-05-18 00:00:00',59,'TUN','Tunisia',0,529,0
'2011-05-18 00:00:00',61,'NZL','New Zealand',0,528,0
'2011-05-18 00:00:00',62,'ARM','Armenia',0,524,0
'2011-05-18 00:00:00',62,'GUI','Guinea',0,524,0
'2011-05-18 00:00:00',64,'ECU','Ecuador',0,536,-8
'2011-05-18 00:00:00',65,'NIR','Northern Ireland',0,520,0
'2011-05-18 00:00:00',66,'SCO','Scotland',0,517,0
'2011-05-18 00:00:00',67,'PAN','Panama',0,488,1
'2011-05-18 00:00:00',68,'VEN','Venezuela',0,501,-1
'2011-05-18 00:00:00',69,'BOT','Botswana',0,479,0
'2011-05-18 00:00:00',70,'MLI','Mali',0,451,0
'2011-05-18 00:00:00',71,'POL','Poland',0,449,0
'2011-05-18 00:00:00',72,'MWI','Malawi',0,430,6
'2011-05-18 00:00:00',73,'MAR','Morocco',0,445,-1
'2011-05-18 00:00:00',74,'AUT','Austria',0,443,-1
'2011-05-18 00:00:00',75,'EST','Estonia',0,440,-1
'2011-05-18 00:00:00',75,'CHN','China PR',0,434,2
'2011-05-18 00:00:00',77,'CAN','Canada',0,439,-2
'2011-05-18 00:00:00',78,'LVA','Latvia',0,438,-2
'2011-05-18 00:00:00',79,'CPV','Cape Verde Islands',0,421,0
'2011-05-18 00:00:00',80,'BEN','Benin',0,418,0
'2011-05-18 00:00:00',81,'FIN','Finland',0,416,0
'2011-05-18 00:00:00',81,'CUB','Cuba',0,411,1
'2011-05-18 00:00:00',83,'UZB','Uzbekistan',0,405,0
'2011-05-18 00:00:00',84,'UGA','Uganda',0,402,0
'2011-05-18 00:00:00',85,'MKD','FYR Macedonia',0,398,0
'2011-05-18 00:00:00',86,'MDA','Moldova',0,394,0
'2011-05-18 00:00:00',87,'SLV','El Salvador',0,388,0
'2011-05-18 00:00:00',88,'KSA','Saudi Arabia',0,387,0
'2011-05-18 00:00:00',89,'IRQ','Iraq',0,383,0
'2011-05-18 00:00:00',90,'CYP','Cyprus',0,383,-1
'2011-05-18 00:00:00',90,'ZAM','Zambia',0,383,-1
'2011-05-18 00:00:00',92,'QAT','Qatar',0,382,0
'2011-05-18 00:00:00',93,'JOR','Jordan',0,382,-1
'2011-05-18 00:00:00',94,'MOZ','Mozambique',0,337,2
'2011-05-18 00:00:00',95,'TRI','Trinidad and Tobago',0,344,-1
'2011-05-18 00:00:00',96,'HAI','Haiti',0,334,2
'2011-05-18 00:00:00',97,'BHR','Bahrain',0,339,-2
'2011-05-18 00:00:00',98,'GRN','Grenada',0,331,1
'2011-05-18 00:00:00',99,'NIG','Niger',0,335,-2
'2011-05-18 00:00:00',100,'ATG','Antigua and Barbuda',0,322,0
